ID;CLASS;DEPTH (M);RES A10;RES A20;RES A30;RES A60;RES A 90;SONIC P;SONIC S;GAMMA RAY;CALIPER;NEUTRON POROSITY;DENSITY (G/CM3);OIL SATURATION;calcite;dolomite ;quartz;k-feldspar;plagioclase;"illite ""type"" (1)";kaolinite;chlorite;pyrite
D50;CARBONATE;1024.5;0.96339;0.72547;0.67699;0.64529;0.64583;171.78769;492.806;97.79288;15.20264;0.51905;2.06352;0.09;20.3;79.3;0.4;0.0;0.0;0.0;0.0;0.0;0.0
D51;CARBONATE;1025;0.98514;0.71987;0.6771;0.639;0.63933;171.5585;494.03027;99.56441;15.11202;0.5338;2.06599;0.08;98.1;1.7;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D52;CARBONATE;1025.5;0.97425;0.72475;0.67016;0.63707;0.63254;171.65419;491.96658;103.54872;15.31483;0.55717;2.06919;0.07;94.8;5.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D53;CARBONATE;1026;0.96886;0.71929;0.668;0.63444;0.62743;171.50749;489.1965;101.19081;15.38818;0.55336;2.07229;0.05;80.5;15.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
D54;CARBONATE;1026.5;0.9899;0.72264;0.66698;0.63307;0.6236;171.26761;488.0098;98.6325;15.35798;0.55801;2.07387;0.07;94.7;5.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D55;CARBONATE;1027;1.01685;0.73665;0.68009;0.63719;0.63485;171.08298;488.76114;95.58212;15.3062;0.55996;2.07332;0.10;96.9;2.9;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D56;CARBONATE;1027.5;1.04194;0.74819;0.68903;0.64463;0.64022;170.95866;487.94638;94.48956;15.31914;0.56198;2.07297;0.12;88.9;10.9;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D57;CARBONATE;1028;1.0221;0.73376;0.67698;0.6319;0.62964;171.06914;488.03006;92.15187;15.46262;0.54418;2.07365;0.12;96.0;3.8;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D58;CARBONATE;1028.5;0.99429;0.71569;0.66024;0.62068;0.61922;171.90048;492.91083;90.50438;15.4788;0.5122;2.07387;0.14;95.8;4.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D59;CARBONATE;1029;0.97662;0.70961;0.65438;0.6179;0.61435;172.82883;499.24258;89.71768;15.509;0.4739;2.07429;0.16;96.9;2.9;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D60;CARBONATE;1029.5;0.96925;0.70654;0.65185;0.61519;0.61359;172.40741;501.84714;90.2573;15.52734;0.47641;2.07816;0.16;99.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D61;CARBONATE;1030;0.96005;0.70413;0.64889;0.61133;0.61129;171.67169;501.31818;91.32969;15.61688;0.48238;2.08408;0.16;93.2;6.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D62;CARBONATE;1030.5;0.95742;0.69843;0.64498;0.60884;0.60986;171.31465;500.35425;94.98848;15.60825;0.50331;2.08846;0.15;96.9;2.9;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D63;CARBONATE;1031;0.96166;0.70099;0.64678;0.61015;0.61183;171.57501;498.96521;95.25176;15.50469;0.51993;2.08509;0.12;10.9;87.9;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D64;CARBONATE;1031.5;0.96005;0.70279;0.64836;0.61214;0.61469;172.36208;497.80991;96.00573;15.48311;0.52766;2.07906;0.12;98.4;1.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0
D65;CARBONATE;1032;0.95933;0.70319;0.65066;0.61519;0.61644;172.24867;496.21854;97.27418;15.52195;0.54674;2.07521;0.11;95.4;4.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0
